QALD; Keywords Extracted; Longest QT-Path; Precision; Recall; F1-Score
Where was K-pop star Lisa Manoban born?;pop star Lisa Manoban (NE),k,born;;null;0;null
What is the highest point of Norway?;Norway (NE),point;Norway (match),location;0;0;null
Where did the psychedelic band “Khruangbin” form?;band,Khruangbin form;concert band;0;0;null
Where was Caesar murdered?;Caesar (NE),murdered;Caesar (match);0;0;null
Where was Goethe’s unmarried partner born ?;Goethe (NE),partner,born;Goethe (match),spouse,date of birth;0;0;null
Where was Roland Corporation founded?;Roland Corporation (NE),founded;Roland Corporation (match),founded by;0;0;null
Where was the author of The Catcher in the Rye born ?;author (NE),catcher,Rye,born;author (match);0;0;null
Who developed the Erlangen program?;Erlangen program (NE),developed;Erlangen program (match);0.125;1;0.2222222222222222
Which actor starring in Free Guy also starred in Deadpool?;actor (NE),Free Guy (NE),Deadpool (NE),starring,starred;actor (match);0;0;null
Which American presidents followed in their father‘s step and also became the president?;president (NE),followed,father ‘s,step,became;president (match),followed by;0;0;null
which animal can possibly live longer, panda or koala?;animal,live,panda,koala;dog,TMDB person ID;0;0;null
Which archipelago has more islands: the Galápagos Islands or the Hawaiian Islands ?;archipelago,island,Galápagos,Islands,Hawaiian,Islands;archipelago,island;0;0;null
Which art movement was Yoko Ono part of?;Yoko Ono (NE),art movement,part;Yoko Ono (match),movement;1;1;1
which band is created earlier, queen or pink floyd?;queen (NE),band,created,floyd;queen (match);0;0;null
What caused Kobe Bryant's Death?;Kobe Bryant (NE),caused,death;Kobe Bryant (match);0;0;null
What are the opposites of zero?;opposite;opposite;0;0;null
Which businesses are founded by the person in charge of Tesla?;Tesla (NE),business,founded,person,charge;Tesla (match),business,founded by;0;0;null
Did Germany have a population growth of at least 1% since 2010?;Germany (NE),population growth,%;Germany (match);0;null;null
Which aircraft did Howard Hughes build?;Howard Hughes (NE),aircraft,build;Howard Hughes (match),aircraft model;0;0;null
Which country has more official languages: South Africa (​​Q258) or Ethiopia ?;South Africa (NE),Ethiopia (NE),country,language,q258;South Africa (match);0.03333333333333333;1;0.06451612903225806
Is throat singing a tradition?;throat,singing,tradition;;null;null;null
Which disease caused the death of Mark Twain?;disease (NE),Mark Twain (NE),caused,death;disease (match);0;0;null
Which diseases can be caused by smoking ?;disease,caused,smoking;genetic disease,genetic disease,smoke;0;0;null
Which genre that Cage the Elephant belongs to has the fewest english characters?;english (NE),genre,cage,Elephant,belongs,character;english (match),genre;0;0;null
Which takes less space? 1kg of lead or 1kg of iron.;takes,space;airport,MusicBrainz place ID;0;0;null
Which kingdom preceded the Thonburi Kingdom ?;Thonburi Kingdom (NE),kingdom,preceded;Thonburi Kingdom (match);0;0;null
How many mountains are located in Germany?;Germany (NE),mountain,located;Germany (match);0;0;null
Which movements is the painting “Les Demoiselles d'Avignon” assigned to?;Les Demoiselles d'Avignon (NE),movement,painting,assigned;Les Demoiselles d'Avignon (match),movement;1;1;1
Which movies belong to the Cornetto trilogy ?;movie,belong,cornetto,trilogy;film;0;0;null
During what event was the Four Policemen Council proposed?;event,policeman,Council,proposed;event;0;0;null
Which NBA teams have won the most seasons?;NBA (NE),team,won,season;NBA (match),member of sports team;0;0;null
Which of the dragons in Game of Thrones died?;dragon,game,Thrones,died;dragon;0;0;null
Which other movies by the director of Another Round also starred Mads Mikkelsen ?;director (NE),Mads Mikkelsen (NE),movie,Round,starred;director (match);0;0;null
Which egyptian pyramid is the tallest?;pyramid;pyramid;0;0;null
What is the offical language of Taipei?;Taipei (NE),language;Taipei (match),language of work or name;0;0;null
Which shows aired for the first time the same year as Saturday Night Live ?;Saturday Night (NE),shows,aired,time,year,Live;Saturday Night (match),television series;0;0;null
Which songs made up the album Fijación Oral vol. 1 ?;song,made,album,fijación,vol.;song;0;0;null
Which started first: impressionism or expressionism (art movements)?;started,impressionism,expressionism,art,movement;Santa Casa da Misericórdia;0;0;null
which state inside USA is batman living in?;USA (NE),batman (NE),state,living;USA (match);0;0;null
which swordfighter in the lord of the rings marry a half-elven and belong to rangers of the north?;swordfighter,lord,ring,marry,half elven,belong,ranger,north;European Fencing Confederation fencer ID;0;0;null
Which egyptian pyramid is the tallest?;pyramid;pyramid;0;0;null
Who are the actresses in Portrait of a Lady on Fire?;actress,portrait,lady,fire;FANZA AV actress ID,Portrait Archive ID;0;0;null
Did Michael Jordan and Kobe Bryant play for the same team?;Michael Jordan (NE),Kobe Bryant (NE),play,team;Michael Jordan (match);0;null;null
Who created the Turing machine?;created,Turing machine;creator;0;0;null
When was the Hambach Castle built?;Hambach Castle (NE),built;Hambach Castle (match),château;0;0;null
Who died at the North Pole?;North Pole (NE),died;North Pole (match),place of death;0.5;1;0.6666666666666666
Who directed Anne with an E ?;Anne (NE),directed,e;Anne (match);0;0;null
Who wrote "Prototypical Networks for Few-shot Learning"?;wrote,network,shot,learning;scribe;0;0;null
Who founded “The Blue Rider”?;founded,Blue Rider;founded by;0;0;null
Who founded the Worpswede artist colony ?;Worpswede artist colony (NE),founded;Worpswede artist colony (match),founded by;1;1;1
Who is the author of “Convenience Store Woman” ?;author (NE),Convenience Store Woman;author (match);0;0;null
Who is the soccer player with the most goals in their career?;soccer player (NE),goal,career;soccer player (match);0;0;null
Who is the creator of the Dinosaurs tv show ?;creator (NE),Dinosaurs tv show;creator (match);0;0;null
Who is the current president of the German Bundestag currently?;president (NE),Bundestag (NE);president (match);0;0;null
Who is the most wealthy entrepreneur?;entrepreneur (NE);entrepreneur (match);0;0;null
Who is the oldest cast member of the Netflix show “Queer Eye” ?;Netflix show (NE),cast member,Queer Eye;Netflix show (match),cast member;0.007462686567164179;1;0.014814814814814815
Who is the publisher of Smite ?;publisher (NE),Smite;publisher (match);0;0;null
Who wrote the Erlangen program?;Erlangen program (NE),wrote;Erlangen program (match);0.125;1;0.2222222222222222
In which country is the Nanga Parbat located?;country,Nanga Parbat,located;country;0;0;null
Who was an actor in more movies, Daniel Day Lewis or Paul Dano ?;actor (NE),Paul Dano (NE),movie,Daniel Day,Lewis;actor (match);0;0;null
For what literature prize was Simone de Beauvoir nominated?;Simone de Beauvoir (NE),literature prize,nominated;Simone de Beauvoir (match);0;0;null
What is the website of NPR's “Tiny Desk Concert”?;NPR (NE),website,desk,concert;NPR (match),official website;0;0;null
Who was the creator of Boo-Boo Bear ?;creator (NE),Boo Boo Bear;creator (match);0;0;null
Who was the creator of Unbreakable Kimmy Schmidt ?;creator (NE),Kimmy Schmidt (NE);creator (match);0;0;null
Who was the director of Llamas with Hats ?;director (NE),Llamas (NE),Hats;director (match);0;0;null
Who founded the Roland Corporation?;Roland Corporation (NE),founded;Roland Corporation (match),founded by;0;0;null
Who was the original actor who played Pinhead ?;actor (NE),played,Pinhead;actor (match);0;0;null
Who were the parents of Socrates ?;Socrates (NE),parent;Socrates (match),mother;1;0.5;0.6666666666666666
Who wrote Anne of Green Gables ?;Anne (NE),Green Gables (NE),wrote;Anne (match);0;0;null
Who wrote the poem Howl ?;wrote,poem,howl;scribe;0;0;null
Who's the author of The Hellbound Heart ?;author (NE),Hellbound Heart;author (match);0;0;null
Whom did Clara Westhoff marry?;Clara Westhoff (NE),marry;Clara Westhoff (match);0;0;null
what is the oldest film festival?;film festival;film festival;0.005;1;0.009950248756218907
When was Athens founded?;Athens (NE),founded;Athens (match),founded by;0;0;null
which river is longer, the Seine or Elbe？;river (NE),Seine (NE),Elbe;river (match),Seine (match);0;0;null
which game is created earlier, super mario bros or Pac-Man?;game,created,mario bros,Pac Man;game,creator;0;0;null
who is the youngested member in g-idle?;member,g idle;member;0;0;null
who is older, Lionel Messi or Cristiano Ronaldo？;Lionel Messi (NE),Cristiano Ronaldo;Lionel Messi (match);0;0;null
Is heidelberg university or university hamburg founded earlier?;heidelberg university,university hamburg,founded;;null;0;null
which forest is bigger, Amazon Rainforest or Congo Basin?;Amazon Rainforest (NE),Congo Basin (NE),forest;Amazon Rainforest (match);0.03333333333333333;1;0.06451612903225806
Does Samsung Electronics or Apple have more employees?;Samsung Electronics (NE),Apple (NE),employee;Samsung Electronics (match);0;0;null
who is taller, Lionel Messi or Cristiano Ronaldo？;Lionel Messi (NE),Cristiano Ronaldo;Lionel Messi (match);0;0;null
who has won more NBA awards, Michael Jordan or Kobe Bean Bryant？;NBA (NE),Michael Jordan (NE),Kobe Bean Bryant (NE),won,award;NBA (match);0;0;null
Did Michael Jordan ever weigh more than Kobe Bean Bryant？;Michael Jordan (NE),Kobe Bean Bryant (NE),weigh;Michael Jordan (match);0;null;null
Who is older, Sebastian Vettel or Lewis Hamilton?;Sebastian Vettel (NE),Lewis Hamilton (NE);Sebastian Vettel (match),Lewis Hamilton (match);0;0;null
which city is more populated, copenhagen or amsterdam?;copenhagen (NE),city,populated,amsterdam;copenhagen (match);0;0;null
How many things are part of the "One Piece" Franchise?;thing,part,piece,Franchise;item for this sense,part,part,licence plate code;0;0;null
How many fictional female swordfighters are there?;swordfighter;European Fencing Confederation fencer ID;0;0;null
which company started earlier, Black Diamond Equipment or la sportiva?;Black Diamond Equipment (NE),company,started,la sportiva;Black Diamond Equipment (match),enterprise;0;0;null
which desert is bigger, sahara desert or arabian desert?;desert,sahara desert desert;desert,Hamada;0;0;null
who lives longer, series black or bellatrix Lestrange?;lives,series Lestrange;Lives of WWI ID;0;0;null
What is the area of the great lakes?;area,lake;area,lake;0;0;null
What is native name of the composer of the Japanese national anthem?;composer (NE),name,anthem;composer (match),official name;0;0;null
Who is the founder of the capital of Vietnam?;founder (NE),Vietnam (NE),capital;founder (match);0;0;null
Who is the manager of the operator of Neumayer III?;manager (NE),operator (NE),Neumayer III (NE);manager (match);0;0;null
How high is the mountain on which Günther Messner died?;Günther Messner (NE),mountain,died;Günther Messner (match);0;0;null
What is the twitter name of Running Wild?;twitter name,Running;Twitter username,marathon;0;0;null
How many times did the Italian national soccer team win the Fifa World Cup?;Fifa World Cup (NE),time,soccer team,win;Fifa World Cup (match);0;0;null
What is the area of the capital of Spitsbergen?;Spitsbergen (NE),area,capital;Spitsbergen (match),area;0;0;null
What percentage of Andorra is covered with water?;Andorra (NE),percentage,covered,water;Andorra (match),water as percent of area;1;1;1
How many countries are located around the euorpean Lake Constance?;euorpean Lake Constance (NE),country,located;;null;0;null
With how many persons was Richard Burton married?;Richard Burton (NE),person,married;Richard Burton (match),TMDB person ID;0;0;null
At what coordinates was the "Sender Teutoburger Wald" erected?;Sender Teutoburger Wald (NE),coordinate,erected;Sender Teutoburger Wald (match);0;0;null
Where is the poet Alexander Pope buried?;poet (NE),Alexander Pope (NE),buried;poet (match);0;0;null
In what country is the Kandahar-downhill?;country,Kandahar;country;0;0;null
Who founded the architectural firm who planned the Elbphilharmonie?;Elbphilharmonie (NE),founded,firm,planned;Elbphilharmonie (match),founded by;0;0;null
Where are the founders of the band Metallica from?;Metallica (NE),founder,band;Metallica (match),founded by;0;0;null
Where does the Granny Smith apple variety come from?;Granny Smith (NE),apple,variety,come;Granny Smith (match),apple cultivar;0;0;null
What is the Fujiyama made of?;Fujiyama (NE),made;Fujiyama (match);0;0;null
